$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
15211F,RA-74015,VSV,Antonov An-74,AN72,Civ,Odd,Chonky Boy,Cheburashka,Distinctive,https://en.wikipedia.org/wiki/Antonov_An-74,https://cdn.jetphotos.com/full/6/77809_1626369151.jpg,https://cdn.jetphotos.com/full/6/48834_1624782902.jpg,https://cdn.jetphotos.com/full/6/40925_1623934238.jpg,
3003BF,I-AVBN,ENAV Flight Inspection,Piaggio P-180 Avanti II,P180,Civ,Fight Calibration,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.enav.it/,https://cdn.jetphotos.com/full/6/29675_1647880270.jpg,https://cdn.jetphotos.com/full/6/98960_1646215563.jpg,https://cdn.jetphotos.com/full/6/88364_1642782645.jpg,
3003E5,I-WELL,Air Corporate,Agusta A109S Grand,A109,Civ,civile,Air Corporate,CPV409,Civ,https://www.flightradar24.com/data/aircraft/i-well,https://cdn.jetphotos.com/full/6/3040119_1764260536.jpg,https://cdn.jetphotos.com/full/5/2516549_1763497685.jpg,,
30040E,I-AVGP,ENAV Flight Inspection,Piaggio P-180 Avanti II,P180,Civ,Fight Calibration,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.enav.it/,https://cdn.jetphotos.com/full/5/73278_1651436335.jpg,https://cdn.jetphotos.com/full/6/75210_1650921555.jpg,https://cdn.jetphotos.com/full/6/50549_1650576853.jpg,
3004BD,I-AVLM,ENAV Flight Inspection,Piaggio P-180 Avanti II,P180,Civ,Fight Calibration,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.enav.it/,https://cdn.jetphotos.com/full/6/22856_1648572935.jpg,https://cdn.jetphotos.com/full/5/77896_1620759762.jpg,https://cdn.jetphotos.com/full/5/80952_1617884718.jpg,
30056B,,,,,Civ,,,ENF04,,,,,,
300708,I-PRAX,Prada S.p.A.,AgustaWestland AW139,A139,civcur,AW139,civile,IPRAX,Civ,https://www.planespotters.net/search?q=IPRAX,https://cdn.plnspttrs.net/05893/i-prax-prada-agustawestland-aw139_PlanespottersNet_1291893_cdaa09eb76_o.jpg,,,
300739,I-DDRG,Star Work Sky,Airbus Helicopters H125,AS50,Civ,Civile,Elicoterro,IDDRG,civ,https://www.flightradar24.com/data/aircraft/i-ddrg,https://cdn.jetphotos.com/full/5/1428965_1694195872.jpg,https://cdn.jetphotos.com/full/5/74398_1613921385.jpg,,
3008D0,I-CABG,Italfly,Guimbal Cabri G2,G2CA,Civ,"Civile, Italyfly",Cabri,ICABG,Civ,https://www.flightradar24.com/data/aircraft/i-cabg,https://cdn.jetphotos.com/full/6/938692_1762711688.jpg,https://cdn.jetphotos.com/full/5/936021_1756138301.jpg,,
3008E5,I-MMRV,Elilombarda,Leonardo AW109 Trekker,A109,Civ,Elilombardia A109,civile,,civ,https://www.flightradar24.com/data/aircraft/i-mmrv,https://cdn.jetphotos.com/full/5/99605_1657018866.jpg,,,
300A35,I-OCRS,Private owner,Robinson R66 Turbine,R66,Civ,Civile,Privato,IOCRS,Civ,https://www.flightradar24.com/data/aircraft/i-ocrs,https://cdn.jetphotos.com/full/6/2315914_1741347071.jpg,,,
31FEFB,I-RAIO,Leonardo,Leonardo AW139,A139,Civ,"AW139, Leonardo",Civile,IRAIO,Civ,https://www.flightradar24.com/data/aircraft/i-raio,https://cdn.jetphotos.com/full/5/40899_1644320543.jpg,https://cdn.jetphotos.com/full/5/21829_1631532459.jpg,,
320004,MM62249,Italian Customs Police,Piaggio P-180 Avanti II,P180,Civ,Maritime Patrol,Coastguard,Eye In The Sky,Coastguard,https://en.wikipedia.org/wiki/Guardia_di_Finanza,https://live.staticflickr.com/1931/31493319828_1ae9a434d1_h.jpg,https://cdn.jetphotos.com/full/6/93197_1605869600.jpg,https://live.staticflickr.com/4523/24194433067_4bdbdf2b70_b.jpg,
3821E9,F-BIPJ,Private,Morane-Saulnier MS.505 Criquet,F156,Civ,Liason,Highwing,STOL,Historic,https://en.wikipedia.org/wiki/Morane-Saulnier,https://cdn.jetphotos.com/full/6/89375_1618943228.jpg,https://cdn.jetphotos.com/full/5/39969_1586015662.jpg,https://cdn.jetphotos.com/full/5/71730_1526214639.jpg,
383E7A,F-WWOW,Airbus SE,Airbus A380-841,A388,Civ,First Off The Line,Testbed,Absolute Unit,Distinctive,https://aibfamily.flights/A380/001,https://cdn.jetphotos.com/full/5/50656_1642871720.jpg,https://cdn.jetphotos.com/full/5/82972_1640219119.jpg,https://cdn.jetphotos.com/full/5/13316_1639730941.jpg,
38AC1B,F-AZKM,Private,North American Rockwell OV-10A Bronco,V10,Civ,Eye In The Sky,Observation,Twin Boom,Joe Cool,http://www.warbirdalley.com/ov10.htm,https://cdn.jetphotos.com/full/5/36061_1634579425.jpg,https://cdn.jetphotos.com/full/5/77017_1607026770.jpg,https://cdn.jetphotos.com/full/5/70597_1598884797.jpg,
38CE9B,F-AZZK,Flying Heritage Collection,Yakovlev Yak-3 UPW,YK3,Civ,Replica,Fighter,Da Comrade,Distinctive,https://en.wikipedia.org/wiki/Yakovlev_Yak-3,https://cdn.jetphotos.com/full/5/52995_1473970354.jpg,https://cdn.jetphotos.com/full/6/76496_1528579143.jpg,https://cdn.jetphotos.com/full/5/37881_1570540228.jpg,
38CF9B,F-WNOV,Novespace/CNES,Airbus A310-304,A310,Civ,Vomit Comet,Pass The Sick Bag,Zero G,Distinctive,https://www.airzerog.com/the-airbus-a310-zero-g,https://cdn.jetphotos.com/full/5/63687_1632549485.jpg,https://cdn.jetphotos.com/full/6/60825_1632054708.jpg,https://cdn.jetphotos.com/full/6/26463_1628422010.jpg,
38FCBB,F-GXLG,Airbus Transport Intl,Airbus A330-743L Beluga XL,A337,Civ,Absolute Unit,Beluga XL,Smiley Face,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga_XL,https://cdn.planespotters.net/35222/f-wbxl-airbus-transport-international-airbus-a330-743l-beluga-xl_PlanespottersNet_1194398_ec942d055c_o.jpg,,,
394A60,F-GSTA,Airbus Transport Intl,Airbus A300 B4-608ST Beluga,A3ST,Civ,Absolute Unit,Beluga,Oversize Cargo,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga,https://cdn.jetphotos.com/full/5/64676_1639735417.jpg,https://cdn.jetphotos.com/full/5/58510_1632944748.jpg,https://cdn.jetphotos.com/full/5/70819_1622928577.jpg,
394A61,F-GSTB,Airbus Transport Intl,Airbus A300 B4-608ST Beluga,A3ST,Civ,Absolute Unit,Beluga,Oversize Cargo,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga,https://live.staticflickr.com/8755/29316120393_8dd2d26a07_k.jpg,https://live.staticflickr.com/65535/51076206306_43abe014c1_k.jpg,https://live.staticflickr.com/558/19338275606_2c3edf07f2_k.jpg,
394A62,F-GSTC,Airbus Transport Intl,Airbus A300 B4-608ST Beluga,A3ST,Civ,Absolute Unit,Beluga,Oversize Cargo,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga,https://live.staticflickr.com/65535/51390454623_ec1fd1092a_k.jpg,https://live.staticflickr.com/65535/51857081975_60d3820467_b.jpg,https://cdn.jetphotos.com/full/6/39276_1641754070.jpg,
394A63,F-GSTD,Airbus Transport Intl,Airbus A300 B4-608ST Beluga,A3ST,Civ,Absolute Unit,Beluga,Oversize Cargo,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga,https://live.staticflickr.com/65535/51711505409_511f72d95f_k.jpg,https://live.staticflickr.com/65535/33942163698_ac3041f136_h.jpg,https://live.staticflickr.com/65535/50123386736_2ced1daa52_k.jpg,
394A65,F-GSTF,Airbus Transport Intl,Airbus A300 B4-608ST Beluga,A3ST,Civ,Absolute Unit,Beluga,Oversize Cargo,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga,https://live.staticflickr.com/4834/40064114983_0356e2d690_k.jpg,https://live.staticflickr.com/4912/32087435777_093cced5c2_k.jpg,https://live.staticflickr.com/5670/23106685982_cdbc7de26b_k.jpg,
395D67,F-GXLH,Airbus Transport Intl,Airbus A330-743L Beluga XL,A337,Civ,Absolute Unit,Beluga XL,Smiley Face,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga_XL,https://live.staticflickr.com/65535/50332456472_dda31d2207_h.jpg,https://live.staticflickr.com/65535/49820900532_23204be2c8_k.jpg,https://live.staticflickr.com/65535/50322128988_809acb0aa2_h.jpg,
395D68,F-GXLI,Airbus Transport Intl,Airbus A330-743L Beluga XL,A337,Civ,Absolute Unit,Beluga XL,Smiley Face,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga_XL,https://cdn.jetphotos.com/full/6/95887_1641939719.jpg,https://cdn.jetphotos.com/full/6/34654_1641401836.jpg,https://cdn.jetphotos.com/full/6/58251_1641083844.jpg,
395D69,F-GXLJ,Airbus Transport Intl,Airbus A330-743L Beluga XL,A337,Civ,Absolute Unit,Beluga XL,Smiley Face,Distinctive,https://en.wikipedia.org/wiki/Airbus_Beluga_XL,https://live.staticflickr.com/65535/51631946437_fce1f87899_k.jpg,https://live.staticflickr.com/65535/51826082302_fce275465b_b.jpg,https://live.staticflickr.com/65535/51747005888_69e4cd17fc_k.jpg,
3C0699,D-ARMY,Air Hamburg,Embraer Legacy 650,E35L,Civ,Army Men,Yes Sarge,Vanity Plate,Vanity Plate,https://youtu.be/wEKmJkY9E38,https://cdn.jetphotos.com/full/5/94742_1643208380.jpg,https://cdn.jetphotos.com/full/5/32592_1642176420.jpg,https://cdn.jetphotos.com/full/5/20547_1641846295.jpg,
3C1230,D-AVXB,Airbus SE,Airbus A321-251NSL,A21N,Civ,Not a Bus,Testbed,NEO,Distinctive,https://www.planespotters.net/photo/825001/d-avxb-airbus-industrie-airbus-a321-251n,https://cdn.jetphotos.com/full/5/95041_1640514340.jpg,https://cdn.jetphotos.com/full/6/43553_1635499638.jpg,https://cdn.jetphotos.com/full/5/76207_1634391327.jpg,
3C5192,D-ADLR,DLR Flugbetrieb,Gulfstream G550,GLF5,Civ,Testbed,Aerospace Research,Clean Propulsion,Dogs with Jobs,https://www.dlr.de/EN/Home/home_node.html,https://live.staticflickr.com/65535/51129208176_4f618a089d_h.jpg,https://live.staticflickr.com/1540/25540822600_b025440e9f_b.jpg,https://live.staticflickr.com/4794/40903460411_03a2d4587d_k.jpg,
3C9192,D-BDLR,DLR Flugbetrieb,Dassault Falcon 2000EX,F2TH,Civ,Testbed,Aerospace Research,Clean Propulsion,Dogs with Jobs,https://www.dlr.de/EN/Home/home_node.html,https://cdn.jetphotos.com/full/6/11785_1646831411.jpg,https://live.staticflickr.com/65535/49968329751_d37c11c6a1_h.jpg,https://cdn.jetphotos.com/full/5/13739_1634233124.jpg,
3CCDCA,D-CFFU,DLR Flugbetrieb,Dornier Do 228-212,D228,Civ,Testbed,Aerospace Research,Clean Propulsion,Dogs with Jobs,https://www.dlr.de/EN/Home/home_node.html,https://live.staticflickr.com/65535/50977425076_027c8ce8ad_h.jpg,https://live.staticflickr.com/65535/50977425191_863b5dc130_h.jpg,https://cdn.jetphotos.com/full/6/73199_1457030353.jpg,
3CE02B,D-CMET,DLR Flugbetrieb,Dassault Falcon 20E,FA20,Civ,Testbed,Aerospace Research,Clean Propulsion,Dogs with Jobs,https://www.dlr.de/EN/Home/home_node.html,https://live.staticflickr.com/4403/36685933425_5c99ce544d_k.jpg,https://live.staticflickr.com/5536/12640646474_89b90be1b0_k.jpg,https://live.staticflickr.com/65535/49443889783_370f72158b_b.jpg,
