$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link$
$004006,Z-WSG,Medical Air Rescue Service P/L,B200 Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.lpr.com.pl/en/home-page/$
$00817D,ZS-AOA,Netcare 911 Aeromedical,BAe 125,H25B,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.netcare911.co.za/$
$008AEF,ZS-EDA,Netcare 911 Aeromedical,Cessna Citation SII,C551,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.netcare911.co.za/$
$00AD1A,ZS-RBL,Netcare 911 Aeromedical,Bell 407,B407,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.netcare911.co.za/$
$018032,5A-DRK,Libyan Air Ambulance,Cessna Citation XLS,C56X,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.laa.ly/$
$018039,5A-DRL,Libyan Air Ambulance,Cessna Citation XLS,C56X,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.laa.ly/$
$01809C,5A-DFN,Libyan Air Ambulance,Cessna Citation Latitude,C680,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.laa.ly/$
$020163,CN-TMB,Air Ocean Maroc,BAe 125,H25C,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://aom-airambulance.ma/hawker-800-xpi$
$04C293,5Y-FDW,African Medical and Research Foundation,Cessna Citation Sovereign,C680,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://amref.org/$
$06414C,5N-EMS,NEMA Air Ambulance,Cessna Citation Sovereign,C680,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://tinyurl.com/4ejj7wkk$
$0D031E,XA-MMI,Air One Ambulance,Learjet 25D,LJ25,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://www.aironeambulance.com/airambulance/$
$0D0BB7,XA-DOC,Med Jets SA de CV,Learjet 36,LJ35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.jetrescueairambulance.com/$
$300254,I-FORR,Avionord SRL,Learjet 40,LJ40,Civ,Organ Transport,Medical Evac,Saving Lives,Flying Doctors,https://www.avionord.com/en/home-page/$
$300447,I-EPAM,Avionord SRL,Hawker 125 750,H25B,Civ,Organ Transport,Medical Evac,Saving Lives,Flying Doctors,https://www.avionord.com/en/home-page/$
$30061C,I-AVND,Avionord SRL,Learjet 45,LJ45,Civ,Organ Transport,Medical Evac,Saving Lives,Flying Doctors,https://www.avionord.com/en/home-page/$
$300762,I-AVNE,Avionord SRL,Learjet 40,LJ40,Civ,Organ Transport,Medical Evac,Saving Lives,Flying Doctors,https://www.avionord.com/en/home-page/$
$3008B7,I-ATLS,118 Elisoccorso,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://adsb.djrexishere.it/history$
